frame,time,state,right_THUMB_dist,right_INDEX_dist,right_MIDDLE_dist,right_RING_dist,right_PINKY_dist,right_THUMB_angle,right_INDEX_angle,right_MIDDLE_angle,right_RING_angle,right_PINKY_angle
143,19:50:49,1,1.3741544535053711,1.8065678716213145,1.921676925392948,1.819819785055089,1.6391092076478957,175.15856441591328,179.23428048139772,177.93987187843092,173.90648474656882,175.99527942027086
144,19:50:49,1,1.3738311657130429,1.8062683060468856,1.925576683947739,1.8121342190174616,1.6359615997143655,173.9878195257717,179.94268399926767,177.59146089900744,173.0946295998558,176.74825155643398
145,19:50:49,1,1.3801416204353822,1.818754028898588,1.9232308288669888,1.8143892735186868,1.634625689414175,176.96999319915844,179.61053701152113,179.25552247813346,174.21256563745635,174.9096337208162
146,19:50:49,1,1.3826068615456435,1.8186461461008685,1.9226969846738569,1.814401148711308,1.6334314706245947,176.97418549093032,179.4130414149642,179.57038563490613,174.2143604294476,174.56942073473428
147,19:50:50,1,1.3563528742188151,1.7444695009782554,1.8217420987225408,1.7434129029772625,1.5062212267257682,172.96117606584582,174.9485724535744,179.47792436391896,178.8274680596127,176.30246758551044
148,19:50:50,1,1.3617813979043036,1.0003886652237903,0.9085083024698858,0.9414122072447476,1.3126768573013703,157.17195183864033,9.23137945610634,7.169783030211294,8.347219679229875,165.70363343481193
149,19:50:50,1,1.4487463696587228,0.9430366150976413,0.8518283741862278,0.9651365680011538,1.370929084371964,156.70495938894982,4.476615574207742,2.2899534539706967,2.0971058205737343,173.0354885708276
150,19:50:50,1,1.4301153939993512,0.94832246603957,0.7938671418088228,0.7064058984336521,0.6981951090893129,143.34250785518694,21.798802866157363,23.44806414305428,25.68779544167266,42.50063193837534
151,19:50:50,1,1.4457958335334729,0.9363604617447262,0.8015210585908503,0.719208435883115,0.7115196276713373,144.30107796724235,20.667377127376465,23.355512960305195,26.47949782550916,42.42734734090877
152,19:50:50,1,1.3304785914659525,0.8657456843250952,0.7469647512085822,0.6603651375587102,0.65889815174307,129.02934218512888,28.95285149613344,37.03890506983343,44.24895968909099,60.99189456355286
153,19:50:50,1,1.3345729773016632,0.8582609814993016,0.7485531759722254,0.6685080080699068,0.6556561770798985,131.67207775884737,31.302458846810264,36.93361851740705,45.28648697297059,63.03157048706604
154,19:50:50,1,1.2854277948813213,0.8588609236954828,0.7456179915209609,0.6631790404268528,0.6509567865271255,130.95185197108637,34.26995320645309,37.990936176453744,44.55842619709342,59.46781721434292
155,19:50:50,1,1.3542068910009182,0.8849664194786133,0.7474492480453737,0.6673586171536351,0.6517818948297964,130.16529945835535,30.08409745267711,31.17185197865044,38.33885790665445,55.3891154241996
156,19:50:50,1,1.3435576038517574,0.8705925799303442,0.7260147052061626,0.6455473521994919,0.6357296182137573,130.22085624923858,32.81294710829612,35.82820065762703,42.01496632093242,57.56446644936521
157,19:50:50,1,1.3339764247553378,0.9094251345695844,0.7385225010944158,0.6096158998185482,0.5836909636057392,127.66380201690131,28.874571397355226,32.9198734678112,44.11012135691369,61.36476602715047
158,19:50:50,1,1.3533033147510292,0.9009814343523368,0.7285377647969841,0.603160438496266,0.5931564472774263,127.34105296162794,25.357230626587587,30.80046140609117,42.30317809703232,57.5780220068838
159,19:50:50,1,1.3262179216950662,0.8705469958150973,0.7170756514758715,0.6200849430765406,0.6051798418356495,126.89785629523293,37.70551932548771,40.025923836181626,49.18682167786059,66.04273656536377
160,19:50:50,1,1.3232616392454215,0.8472289905220002,0.7121722964795164,0.6032021415015438,0.5795518805988045,126.92785786883232,40.36712264655975,43.74560108239613,53.54635621443061,64.83910461580837
161,19:50:50,1,1.3014741268512984,0.8634054692991849,0.7175176756375758,0.6056895472010646,0.5739451015610674,126.21766608545396,40.91209076399326,43.6129298603746,54.95679986340024,69.2990936676897
162,19:50:50,1,1.3816200687563074,0.902872287213175,0.7693460892087292,0.6519964321670699,0.6235240767879398,135.84399616532863,31.530547901749078,33.100679088964924,42.72098803007359,61.569617263243735
163,19:50:50,1,1.3882899301781968,0.9075408693563506,0.7341221105630409,0.6238436332722395,0.6081317769663298,132.5572166636298,32.70342095125258,34.748604702061535,42.37338265001885,58.732559618861686
